component,explained_variance_ratio,cumulative_variance
1,0.1251178630425645,0.1251178630425645
2,0.09257166379412775,0.21768952683669224
3,0.0637905655644701,0.28148009240116234
4,0.061552493902994936,0.3430325863041573
5,0.0550705925964104,0.3981031789005677
6,0.04723442453796797,0.4453376034385357
7,0.04288237923404338,0.48821998267257904
8,0.039709169612972606,0.5279291522855516
9,0.037894159532568444,0.5658233118181201
10,0.03661692728225733,0.6024402391003774
11,0.034300403909429275,0.6367406430098066
12,0.03313830090734234,0.669878943917149
13,0.032722902819824366,0.7026018467369733
14,0.03170030648234286,0.7343021532193162
15,0.030742518196289186,0.7650446714156054
16,0.030442074481272053,0.7954867458968774
17,0.028263769357939034,0.8237505152548165
18,0.026265287389037384,0.8500158026438538
19,0.025950616131126137,0.8759664187749799
20,0.025254696450703187,0.9012211152256832
