component,explained_variance_ratio,cumulative_explained_variance
1,0.08020061348595944,0.08020061348595944
2,0.04878166929024172,0.12898228277620116
3,0.04466894922831918,0.17365123200452035
4,0.04180314596041841,0.21545437796493877
5,0.03438398636386671,0.2498383643288055
6,0.03262762554560091,0.2824659898744064
7,0.03186609069211822,0.3143320805665246
8,0.029204071448527873,0.3435361520150525
9,0.028628427124165145,0.37216457913921763
10,0.027597912755964297,0.3997624918951819
11,0.025220463150643198,0.4249829550458251
12,0.023921796969536474,0.4489047520153616
13,0.02328778144128276,0.47219253345664436
14,0.023051757584803663,0.495244291041448
15,0.02234807782578972,0.5175923688672377
16,0.022101800613813553,0.5396941694810512
17,0.02148556087767619,0.5611797303587274
18,0.021143012570058697,0.582322742928786
19,0.020878320275697675,0.6032010632044837
20,0.02048000453465225,0.623681067739136
21,0.020036328155079452,0.6437173958942155
22,0.01971011500125603,0.6634275108954716
23,0.019425775091416835,0.6828532859868884
24,0.01920611220370194,0.7020593981905904
25,0.01902180624989207,0.7210812044404824
26,0.01853001803900031,0.7396112224794827
27,0.017841514191375547,0.7574527366708583
28,0.017621056374782822,0.7750737930456412
29,0.01728639946304904,0.7923601925086902
30,0.01723103333620124,0.8095912258448914
31,0.016845512172750453,0.8264367380176418
32,0.016717776523740877,0.8431545145413827
33,0.016204362893484953,0.8593588774348676
34,0.015824868401432414,0.8751837458363
35,0.015468537129359755,0.8906522829656598
36,0.015153921364205146,0.9058062043298649
37,0.014614704348794125,0.920420908678659
38,0.01423655183617138,0.9346574605148303
39,0.01330175163620846,0.9479592121510388
40,0.01293140014685885,0.9608906122978977
41,0.011789776151604368,0.9726803884495021
42,0.01153165003567742,0.9842120384851796
43,0.010747129203876493,0.9949591676890561
44,0.0044488627235473865,0.9994080304126035
45,0.0005919695873965848,1.0
