component,rank,feature,loading,abs_loading
pc1,1,rating_count_log,-0.42905041985211256,0.42905041985211256
pc1,2,unique_tag_count_log,-0.4129053146444804,0.4129053146444804
pc1,3,genre_count_log,-0.3133555514596887,0.3133555514596887
pc1,4,rating_std,-0.19767718521147004,0.19767718521147004
pc1,5,tag_019_action,-0.18730185493948556,0.18730185493948556
pc1,6,tag_010_funny,-0.17665367707648763,0.17665367707648763
pc1,7,tag_006_based_on_a_book,-0.1727925777605114,0.1727925777605114
pc1,8,tag_007_clv,-0.17182794343964014,0.17182794343964014
pc1,9,tag_004_comedy,-0.16222509968040763,0.16222509968040763
pc1,10,tag_009_romance,-0.15571413844670268,0.15571413844670268
pc1,11,tag_011_violence,-0.14488321062251303,0.14488321062251303
pc1,12,tag_008_drama,-0.14094880231914242,0.14094880231914242
pc2,1,genre_thriller,-0.4068161527403961,0.4068161527403961
pc2,2,genre_action,-0.27664164079080855,0.27664164079080855
pc2,3,genre_horror,-0.2569825232451292,0.2569825232451292
pc2,4,genre_crime,-0.25615144795420086,0.25615144795420086
pc2,5,genre_comedy,0.24284455305363428,0.24284455305363428
pc2,6,genre_mystery,-0.2335900076957223,0.2335900076957223
pc2,7,tag_002_murder,-0.20927817901775714,0.20927817901775714
pc2,8,tag_014_musical,0.20052938981593277,0.20052938981593277
pc2,9,genre_musical,0.1958304971071842,0.1958304971071842
pc2,10,genre_romance,0.19390332533847043,0.19390332533847043
pc2,11,genre_count_log,-0.18918677621462865,0.18918677621462865
pc2,12,tag_004_comedy,0.17401390642943465,0.17401390642943465
