latent_dim,ae_train_mse,ae_val_mse,pca_val_mse,ae_vs_pca_ratio,epochs_ran,final_train_loss,final_val_loss,training_seconds,ae_improvement_over_pca
2,0.40093798160312605,0.4045688844173371,0.8312963637938529,0.4866722651967033,60,0.44217410683631897,0.4183422923088074,43.49769425392151,0.42672747937651573
3,0.25623338719065786,0.27202234035091594,0.788444570678335,0.3450113685441231,60,0.3101429045200348,0.28811243176460266,44.53495407104492,0.5164222303274191
4,0.19470451290132376,0.2120292422010531,0.7486287555213976,0.2832234811143222,60,0.24714431166648865,0.22916533052921295,51.669859170913696,0.5365995133203445
5,0.14947341794995725,0.16982243975520336,0.7153306150680039,0.2374041263969374,60,0.20353958010673523,0.18576696515083313,54.897359132766724,0.5455081753128005
6,0.11697007694390509,0.13346474626293572,0.6852060068853082,0.19478046736574428,60,0.17084383964538574,0.14925312995910645,54.135497093200684,0.5517412606223725
7,0.09743549045774687,0.1126031252617727,0.6557009136689497,0.17172940118644364,60,0.14934004843235016,0.12690280377864838,54.2441041469574,0.5430977884071769
8,0.07869577996731625,0.09582218356574725,0.6278571653743145,0.15261780680422782,60,0.12857858836650848,0.10946162045001984,67.69625878334045,0.5320349818085672
9,0.059260600220620796,0.07385258766706747,0.6006502307167731,0.12295439823428862,60,0.10810612142086029,0.0862283855676651,48.512120723724365,0.5267976430497057
10,0.05422554477236302,0.06654677348685932,0.5747774074676202,0.1157783389226345,60,0.09880822896957397,0.0791558027267456,56.632956981658936,0.5082306339807608
11,0.0399800804813331,0.0532456941250681,0.5509399879485684,0.09664517967433998,60,0.08293017745018005,0.06467720866203308,57.681532859802246,0.4976942938235003
12,0.03611391745785204,0.0476302200718596,0.5293574827153976,0.08997741909217025,60,0.07728572934865952,0.059490494430065155,57.05875611305237,0.48172726264353805
13,0.02663175654295613,0.03467437317392124,0.5083491525005884,0.06820975898820074,60,0.06532182544469833,0.04516679421067238,56.92097091674805,0.4736747793266672
14,0.027171584661131985,0.03454175345190375,0.4858718816057786,0.0710923079922741,60,0.06344249099493027,0.04519832134246826,56.63058376312256,0.45133012815387485
15,0.02350465273041484,0.029564653108857752,0.4646166490245069,0.0636323583559278,60,0.05870760232210159,0.03943997621536255,56.69535994529724,0.43505199591564914
16,0.021508006634565587,0.025654215128845904,0.44399160751099265,0.057780855977577775,60,0.05753079801797867,0.03560357540845871,57.31315803527832,0.41833739238214673
17,0.019463945491492992,0.02377028097757557,0.424433474653124,0.05600472723552794,60,0.05167096108198166,0.03285966068506241,61.61350893974304,0.4006631936755484
18,0.017542822008437608,0.02180001815007994,0.40568951133066294,0.05373572040000691,60,0.04909417778253555,0.03086886554956436,63.5113799571991,0.383889493180583
19,0.01508947183796805,0.018101051512689415,0.3871032004251527,0.0467602734692174,60,0.04426328092813492,0.028291016817092896,63.04368495941162,0.3690021489124633
20,0.015590494242113728,0.01880925050822696,0.36786901746493833,0.051130292618403704,60,0.044718701392412186,0.02926936373114586,59.772502183914185,0.34905976695671137
21,0.010556803299347639,0.013222954452086684,0.3495685402308663,0.03782650018606886,60,0.03674870729446411,0.021380575373768806,57.47320795059204,0.3363455857787796
22,0.012922507838965197,0.0153926023104201,0.33133880266235977,0.04645577936160239,60,0.04109668359160423,0.02358201891183853,58.02476119995117,0.31594620035193965
23,0.008393556991542749,0.010748555168280103,0.31331598057258353,0.03430579936790063,60,0.03454899415373802,0.019155342131853104,58.21440315246582,0.3025674254043034
24,0.010998405082021143,0.013103130793673007,0.2953500917417975,0.044364742588697395,60,0.035380054265260696,0.02139919064939022,58.451627016067505,0.2822469609481245
25,0.010966897093491752,0.012160886649840144,0.2775306819144435,0.043818170178348326,60,0.036330096423625946,0.020532937720417976,59.69206404685974,0.26536979526460336
26,0.007842751630818386,0.009396022760424762,0.2605620724329857,0.03606059267448196,60,0.032749276608228683,0.016547387465834618,59.0998420715332,0.2511660496725609
27,0.008067054247871916,0.009528662783704829,0.244204434393989,0.03901920457485097,60,0.03291551396250725,0.01786547340452671,59.502732038497925,0.2346757716102842
28,0.007860908733551138,0.009174219167452133,0.22757229307195967,0.040313427630450566,60,0.02935614064335823,0.016939379274845123,59.27410006523132,0.21839807390450755
29,0.010302466212028006,0.011733546728036906,0.21202398210574316,0.055340658219432036,60,0.033153437077999115,0.020478209480643272,60.23785996437073,0.20029043537770624
30,0.007255298217024622,0.008311907361957091,0.19571023768389104,0.04247047809211897,60,0.02941996045410633,0.015453859232366085,56.30949592590332,0.18739833032193395
