movieId,kmeans_cluster
1,2
2,2
3,1
4,0
5,1
6,0
7,1
8,2
9,0
10,0
11,1
12,0
13,2
14,1
15,0
16,0
17,0
18,0
19,2
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,2
28,0
29,0
30,0
31,1
32,0
33,2
34,1
35,1
36,0
37,3
38,2
39,2
40,0
41,1
42,0
43,0
44,0
45,0
46,1
47,0
48,2
49,1
50,0
51,0
52,1
53,2
54,2
55,1
56,2
57,1
58,2
59,0
60,2
61,0
62,1
63,0
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,3
78,0
79,0
80,2
81,0
82,2
83,0
84,1
85,0
86,0
87,2
88,1
89,0
90,1
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,3
100,0
101,1
102,1
103,0
104,1
105,0
106,1
107,2
108,3
109,0
110,0
111,0
112,0
113,0
114,1
115,1
116,3
117,0
118,1
119,2
120,2
121,1
122,1
123,0
124,1
125,1
126,2
127,1
128,3
129,1
130,1
131,1
132,0
133,1
134,3
135,1
136,3
137,3
138,0
139,0
140,1
141,1
142,1
143,1
144,1
145,0
146,2
147,0
148,0
149,0
150,3
151,2
152,0
153,0
154,1
155,2
156,0
157,1
158,1
159,0
160,0
161,0
162,3
163,0
164,0
165,0
166,0
167,1
168,0
169,2
170,0
171,1
172,0
173,0
174,1
175,0
176,1
177,0
178,1
179,1
180,0
181,2
182,1
183,0
184,1
185,0
186,2
187,1
188,0
189,2
190,1
191,0
192,3
193,0
194,1
195,1
196,0
197,1
198,0
199,2
200,0
201,1
202,1
203,1
204,1
205,1
206,3
207,1
208,0
209,1
210,1
211,1
212,2
213,1
214,0
215,1
216,1
217,0
218,0
219,1
220,0
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,2
233,1
234,1
235,0
236,0
237,1
238,2
239,2
240,0
241,2
242,2
243,2
244,2
245,0
246,3
247,0
248,1
249,1
250,2
251,0
252,1
253,0
254,1
255,1
256,0
257,0
258,2
259,0
260,1
261,1
262,0
263,1
264,1
265,2
266,1
267,1
268,0
