k,inertia,silhouette,cluster_size_min,cluster_size_max,inertia_drop,silhouette_delta
2,3337464.0009056823,0.33115634025787544,5639,56784,,
3,3054836.1076854803,0.16994082759480775,5628,37031,282627.89322020207,-0.1612155126630677
4,2858886.6901400993,0.1563934335886928,5595,29266,195949.417545381,-0.01354739400611496
5,2724017.7248949,0.15930056454597513,5241,26611,134868.9652451994,0.0029071309572823445
6,2603019.3812230127,0.16506623887618496,3932,25650,120998.34367188718,0.00576567433020983
7,2504220.8215300785,0.17206207435653112,2995,25183,98798.55969293416,0.0069958354803461575
8,2412340.9398501,0.12044148018945312,2981,14542,91879.88167997869,-0.051620594167077996
9,2362981.3756146403,0.12198829398190887,1807,13290,49359.56423545955,0.001546813792455748
10,2283938.138937514,0.12768945270888016,2867,13550,79043.2366771265,0.0057011587269712866
11,2225336.6694393284,0.12844643916760506,1398,12446,58601.46949818544,0.0007569864587249064
12,2170169.028276108,0.13429157140252487,1396,11962,55167.64116322016,0.005845132234919809
13,2116419.334064016,0.13712805194521058,1396,12225,53749.69421209209,0.0028364805426857043
14,2075630.463281549,0.1359912835045256,1391,10842,40788.87078246707,-0.001136768440684971
15,2044274.8951188312,0.13659093802426228,1392,10953,31355.568162717856,0.0005996545197366754
16,1999035.2184050893,0.13573246017693105,1393,9404,45239.67671374185,-0.0008584778473312293
17,1963532.2372396851,0.13738364891347585,1359,9278,35502.9811654042,0.0016511887365447953
18,1935362.7489695358,0.13410396120981466,1032,8779,28169.488270149333,-0.0032796877036611882
19,1904539.8767180708,0.1386048225203755,1204,9507,30822.872251464985,0.00450086131056085
20,1877468.8160635426,0.1352868053420595,1217,6947,27071.060654528206,-0.0033180171783160073
