movieId,title,release_year,rating_count,avg_rating,bayesian_score,cluster,cluster_rank,genres
318,"Shawshank Redemption, The (1994)",1994,81482,4.413576004516335,4.4135595323432,0,1,Crime|Drama
858,"Godfather, The (1972)",1972,52498,4.324336165187245,4.324312298785138,0,2,Crime|Drama
171495,Cosmos,,277,4.3267148014440435,4.322199186766011,0,3,
50,"Usual Suspects, The (1995)",1995,55366,4.284353213163313,4.284331305180359,0,4,Crime|Mystery|Thriller
2019,Seven Samurai (Shichinin no samurai) (1954),1954,13367,4.25476920775043,4.254680683267575,0,5,Action|Adventure|Drama
176601,Black Mirror,,456,4.256578947368421,4.253985500921118,0,6,
1203,12 Angry Men (1957),1957,16569,4.243014062405697,4.242943353887806,0,7,Drama
904,Rear Window (1954),1954,20162,4.237947624243627,4.237889767094229,0,8,Mystery|Thriller
2959,Fight Club (1999),1999,58773,4.228310618821568,4.228290934323357,0,9,Action|Crime|Drama|Thriller
1193,One Flew Over the Cuckoo's Nest (1975),1975,36058,4.2186616007543405,4.218629783796582,0,10,Drama
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,26714,4.215804447106386,4.215761608606436,0,11,Comedy|War
5618,Spirited Away (Sen to Chihiro no kamikakushi) (2001),2001,22719,4.212267265284564,4.212217049908492,0,12,Adventure|Animation|Fantasy
166024,Whiplash (2013),2013,1030,4.210194174757282,4.209089596431572,0,13,
202439,Parasite (2019),2019,496,4.209677419354839,4.207387070263483,0,14,Comedy|Drama
912,Casablanca (1942),1942,26890,4.206563778356267,4.206521563866013,0,15,Drama|Romance
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),1950,7368,4.20650108577633,4.206347044907172,0,16,Drama|Film-Noir|Romance
1212,"Third Man, The (1949)",1949,7194,4.201487350569919,4.201330281295475,0,17,Film-Noir|Mystery|Thriller
44555,"Lives of Others, The (Das leben der Anderen) (2006)",2006,9177,4.200392285060477,4.200269271510237,0,18,Drama|Romance|Thriller
908,North by Northwest (1959),1959,16850,4.196617210682493,4.196550434628268,0,19,Action|Adventure|Mystery|Romance|Thriller
296,Pulp Fiction (1994),1994,79672,4.188912039361382,4.188898012801337,0,20,Comedy|Crime|Drama|Thriller
1213,Goodfellas (1990),1990,32663,4.1805253650920005,4.180491408704413,0,21,Crime|Drama
3030,Yojimbo (1961),1961,3996,4.1791791791791795,4.178902019995234,0,22,Action|Adventure
926,All About Eve (1950),1950,5068,4.169692186266772,4.169475512708808,0,23,Drama
930,Notorious (1946),1946,5062,4.161201106282102,4.160985853035938,0,24,Film-Noir|Romance|Thriller
2324,Life Is Beautiful (La Vita è bella) (1997),1997,23976,4.154341841841842,4.154296674893479,0,25,Comedy|Drama|Romance|War
2571,"Matrix, The (1999)",1999,72674,4.154099127610975,4.154084229431317,0,26,Action|Sci-Fi|Thriller
913,"Maltese Falcon, The (1941)",1941,12257,4.154075222321938,4.153986896224584,0,27,Film-Noir|Mystery
26082,Harakiri (Seppuku) (1962),1962,714,4.15546218487395,4.15394597751182,0,28,Drama
950,"Thin Man, The (1934)",1934,3318,4.153254972875226,4.152929006905981,0,29,Comedy|Crime
4226,Memento (2000),2000,41195,4.1499575191163975,4.149931337360932,0,30,Mystery|Thriller
1136,Monty Python and the Holy Grail (1975),1975,37723,4.147655276621689,4.147626746207214,0,31,Adventure|Comedy|Fantasy
1207,To Kill a Mockingbird (1962),1962,15986,4.146440635556112,4.146373389248824,0,32,Drama
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,57361,4.144122313069856,4.144103611692775,0,33,Action|Adventure|Sci-Fi
1217,Ran (1985),1985,5220,4.142049808429118,4.1418447373914855,0,34,Drama|War
2329,American History X (1998),1998,31157,4.1400006419103255,4.139966344884812,0,35,Crime|Drama
3000,Princess Mononoke (Mononoke-hime) (1997),1997,13136,4.138093788063338,4.138012588408386,0,36,Action|Adventure|Animation|Drama|Fantasy
112552,Whiplash (2014),2014,11179,4.137847750245997,4.137752359026919,0,37,Drama
898,"Philadelphia Story, The (1940)",1940,6499,4.1377134943837515,4.137549442141685,0,38,Comedy|Drama|Romance
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),1989,9456,4.1310807952622675,4.130968739972608,0,39,Drama
905,It Happened One Night (1934),1934,4313,4.130419661488523,4.130174171052608,0,40,Comedy|Romance
1197,"Princess Bride, The (1987)",1987,37863,4.129097007632781,4.129069072837549,0,41,Action|Adventure|Comedy|Fantasy|Romance
2920,Children of Paradise (Les enfants du paradis) (1945),1945,1033,4.127783155856728,4.126761483482545,0,42,Drama|Romance
92259,Intouchables (2011),2011,12745,4.124754805806199,4.124672161770042,0,43,Comedy|Drama
