movieId,title,release_year,rating_count,avg_rating,bayesian_score,cluster,genres
356,Forrest Gump (1994),1994,81491,4.048011436845787,4.047999452386994,0,Comedy|Drama|Romance|War
318,"Shawshank Redemption, The (1994)",1994,81482,4.413576004516335,4.4135595323432,0,Crime|Drama
296,Pulp Fiction (1994),1994,79672,4.188912039361382,4.188898012801337,0,Comedy|Crime|Drama|Thriller
593,"Silence of the Lambs, The (1991)",1991,74127,4.151341616415071,4.151327047457384,3,Crime|Horror|Thriller
2571,"Matrix, The (1999)",1999,72674,4.154099127610975,4.154084229431317,0,Action|Sci-Fi|Thriller
260,Star Wars: Episode IV - A New Hope (1977),1977,68717,4.120188599618726,4.120173337028449,0,Action|Adventure|Sci-Fi
480,Jurassic Park (1993),1993,64144,3.6791749812920926,3.679165505868282,0,Action|Adventure|Sci-Fi|Thriller
527,Schindler's List (1993),1993,60411,4.247579083279535,4.24755961355229,1,Drama|War
110,Braveheart (1995),1995,59184,4.002272573668559,4.0022568450438625,1,Action|Drama|War
2959,Fight Club (1999),1999,58773,4.228310618821568,4.228290934323357,0,Action|Crime|Drama|Thriller
589,Terminator 2: Judgment Day (1991),1991,57379,3.94637410899458,3.946358859775548,3,Action|Sci-Fi
1196,Star Wars: Episode V - The Empire Strikes Back (1980),1980,57361,4.144122313069856,4.144103611692775,0,Action|Adventure|Sci-Fi
1,Toy Story (1995),1995,57309,3.893707794587238,3.8936934457149004,0,Adventure|Animation|Children|Comedy|Fantasy
4993,"Lord of the Rings: The Fellowship of the Ring, The (2001)",2001,55736,4.091188818716808,4.091170521806357,0,Adventure|Fantasy
50,"Usual Suspects, The (1995)",1995,55366,4.284353213163313,4.284331305180359,0,Crime|Mystery|Thriller
1210,Star Wars: Episode VI - Return of the Jedi (1983),1983,54917,3.996512919496695,3.9964960736720374,0,Action|Adventure|Sci-Fi
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),1981,54675,4.123923182441701,4.123903931778495,0,Action|Adventure
2858,American Beauty (1999),1999,53689,4.107340423550448,4.107321128216073,0,Drama|Romance
858,"Godfather, The (1972)",1972,52498,4.324336165187245,4.324312298785138,0,Crime|Drama
5952,"Lord of the Rings: The Two Towers, The (2002)",2002,51138,4.0680511556963515,4.068031666124112,3,Adventure|Fantasy
7153,"Lord of the Rings: The Return of the King, The (2003)",2003,50797,4.0903399807075225,4.090319921530788,0,Action|Adventure|Drama|Fantasy
47,Seven (a.k.a. Se7en) (1995),1995,50596,4.0791663372598626,4.07914641923278,3,Mystery|Thriller
457,"Fugitive, The (1993)",1993,49638,3.9721584270115637,3.972140280302201,3,Thriller
1270,Back to the Future (1985),1985,49595,3.9538763988305274,3.9538586050068742,0,Adventure|Comedy|Sci-Fi
780,Independence Day (a.k.a. ID4) (1996),1996,48902,3.373931536542473,3.373925349649734,0,Action|Adventure|Sci-Fi|Thriller
150,Apollo 13 (1995),1995,48377,3.87355561527172,3.873539033732708,0,Adventure|Drama|IMAX
608,Fargo (1996),1996,47823,4.111421282646425,4.1113995352526125,0,Comedy|Crime|Drama|Thriller
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995,47054,3.9057678412037236,3.9057501088921676,3,Mystery|Sci-Fi|Thriller
2028,Saving Private Ryan (1998),1998,46783,4.044107902443195,4.044087110420677,1,Action|Drama|War
2762,"Sixth Sense, The (1999)",1999,46713,4.009751032903046,4.0097309451967496,0,Drama|Horror|Mystery
3578,Gladiator (2000),2000,44656,3.951473486205661,3.9514537782188897,3,Action|Adventure|Drama
592,Batman (1989),1989,44110,3.4069031965540693,3.40689559007778,2,Action|Crime|Thriller
588,Aladdin (1992),1992,43373,3.6987526802388584,3.6987382158417703,6,Adventure|Animation|Children|Comedy|Musical
364,"Lion King, The (1994)",1994,42745,3.817136507193824,3.8171190608225554,6,Adventure|Animation|Children|Drama|Musical|IMAX
4306,Shrek (2001),2001,42303,3.7548282627709617,3.7548121069856504,0,Adventure|Animation|Children|Comedy|Fantasy|Romance
380,True Lies (1994),1994,41673,3.4922731744774795,3.49226307467296,0,Action|Adventure|Comedy|Romance|Thriller
590,Dances with Wolves (1990),1990,41615,3.7256878529376425,3.725672130284529,1,Adventure|Drama|Western
58559,"Dark Knight, The (2008)",2008,41519,4.166538211421277,4.166511834632008,1,Action|Crime|Drama|IMAX
377,Speed (1994),1994,41302,3.481247881458525,3.4812379578703956,0,Action|Romance|Thriller
4226,Memento (2000),2000,41195,4.1499575191163975,4.149931337360932,0,Mystery|Thriller
1580,Men in Black (a.k.a. MIB) (1997),1997,40308,3.5817083457378187,3.581695685180008,0,Action|Comedy|Sci-Fi
1704,Good Will Hunting (1997),1997,38947,4.074935168305646,4.074909401610377,0,Drama|Romance
79132,Inception (2010),2010,38895,4.155508420105412,4.15548054745786,3,Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
1240,"Terminator, The (1984)",1984,38612,3.8968066922200353,3.8967853151508804,0,Action|Sci-Fi|Thriller
1291,Indiana Jones and the Last Crusade (1989),1989,37908,3.985201012978791,3.985176907170354,0,Action|Adventure
1197,"Princess Bride, The (1987)",1987,37863,4.129097007632781,4.129069072837549,0,Action|Adventure|Comedy|Fantasy|Romance
1136,Monty Python and the Holy Grail (1975),1975,37723,4.147655276621689,4.147626746207214,0,Adventure|Comedy|Fantasy
1721,Titanic (1997),1997,37712,3.381151887993212,3.3811436739034537,0,Drama|Romance
1265,Groundhog Day (1993),1993,37616,3.8917614844746917,3.8917396755169458,0,Comedy|Fantasy|Romance
344,Ace Ventura: Pet Detective (1994),1994,37453,2.9898406002189413,2.9898427771111487,0,Comedy
6539,Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003,37227,3.7892121309802027,3.7891928487676196,0,Action|Adventure|Comedy|Fantasy
648,Mission: Impossible (1996),1996,37035,3.4016470905899823,3.4016381729647085,3,Action|Adventure|Mystery|Thriller
1036,Die Hard (1988),1988,36716,3.9332307440897702,3.9332072711256623,3,Action|Crime|Thriller
541,Blade Runner (1982),1982,36702,4.115838373930576,4.115809916734898,3,Action|Sci-Fi|Thriller
1214,Alien (1979),1979,36357,4.055518882196001,4.055491814013998,3,Horror|Sci-Fi
1193,One Flew Over the Cuckoo's Nest (1975),1975,36058,4.2186616007543405,4.218629783796582,0,Drama
595,Beauty and the Beast (1991),1991,35723,3.6809198555552447,3.680902792910115,6,Animation|Children|Fantasy|Musical|Romance|IMAX
6377,Finding Nemo (2003),2003,34712,3.8339767227471766,3.8339547539515726,6,Adventure|Animation|Children|Comedy
1089,Reservoir Dogs (1992),1992,34634,4.092293699832535,4.092264223297847,2,Crime|Mystery|Thriller
367,"Mask, The (1994)",1994,34621,3.183039195863782,3.183035970594447,0,Action|Comedy|Crime|Fantasy
1097,E.T. the Extra-Terrestrial (1982),1982,34602,3.7330790127738283,3.7330598900072522,0,Children|Drama|Sci-Fi
4886,"Monsters, Inc. (2001)",2001,34572,3.8486202707393264,3.8485977894287724,6,Adventure|Animation|Children|Comedy|Fantasy
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",2001,34320,4.101282051282051,4.101252043178256,0,Comedy|Romance
597,Pretty Woman (1990),1990,34234,3.42649120757142,3.4264808346406,0,Comedy|Romance
500,Mrs. Doubtfire (1993),1993,34194,3.3863104638240626,3.3863012538067245,0,Comedy|Drama
1221,"Godfather: Part II, The (1974)",1974,34188,4.2617585117585115,4.261723693992832,2,Crime|Drama
6874,Kill Bill: Vol. 1 (2003),2003,33827,3.8578206757915274,3.8577974273950852,0,Action|Crime|Thriller
165,Die Hard: With a Vengeance (1995),1995,33731,3.506566659749192,3.5065537582687343,0,Action|Crime|Thriller
1682,"Truman Show, The (1998)",1998,33731,3.859743262873914,3.8597198913174715,0,Comedy|Drama|Sci-Fi
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1994,33680,4.0885985748218525,4.088568373086338,2,Action|Crime|Drama|Thriller
7361,Eternal Sunshine of the Spotless Mind (2004),2004,33225,4.066350639578631,4.066320693851831,0,Drama|Romance|Sci-Fi
1527,"Fifth Element, The (1997)",1997,33153,3.7699454046390977,3.769924334135276,0,Action|Adventure|Comedy|Sci-Fi
1213,Goodfellas (1990),1990,32663,4.1805253650920005,4.180491408704413,0,Crime|Drama
3793,X-Men (2000),2000,32584,3.559661183402897,3.5596461983710586,3,Action|Adventure|Sci-Fi
2716,Ghostbusters (a.k.a. Ghost Busters) (1984),1984,32118,3.759075907590759,3.759054496526073,0,Action|Comedy|Sci-Fi
733,"Rock, The (1996)",1996,31979,3.6686106507395477,3.668591975419667,3,Action|Adventure|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),1994,31843,2.964968752944132,2.9649720943952063,0,Adventure|Comedy
2628,Star Wars: Episode I - The Phantom Menace (1999),1999,31837,3.0698558281245094,3.069855875806299,3,Action|Adventure|Sci-Fi
4963,Ocean's Eleven (2001),2001,31775,3.80918961447679,3.80916639520144,2,Crime|Thriller
4995,"Beautiful Mind, A (2001)",2001,31760,3.9610988664987405,3.961070853371145,0,Drama|Romance
1200,Aliens (1986),1986,31684,3.9993372048983713,3.999307917750385,3,Action|Adventure|Horror|Sci-Fi
34,Babe (1995),1995,31456,3.6031917599186163,3.603174853734334,0,Children|Drama
2329,American History X (1998),1998,31157,4.1400006419103255,4.139966344884812,0,Crime|Drama
153,Batman Forever (1995),1995,31101,2.8716600752387382,2.8716664964928604,2,Action|Adventure|Comedy|Crime
736,Twister (1996),1996,31040,3.1890463917525773,3.189042600880157,3,Action|Adventure|Romance|Thriller
316,Stargate (1994),1994,30910,3.3710611452604335,3.371051450096113,3,Action|Adventure|Sci-Fi
33794,Batman Begins (2005),2005,30684,3.9299634988919308,3.9299355181333206,1,Action|Crime|IMAX
8961,"Incredibles, The (2004)",2004,30562,3.854885151495321,3.8548595155554413,6,Action|Adventure|Animation|Children|Comedy
3147,"Green Mile, The (1999)",1999,30482,4.027754084377666,4.0277227101637285,0,Crime|Drama
5445,Minority Report (2002),2002,30195,3.6899983440967046,3.6899778571307773,3,Action|Crime|Mystery|Sci-Fi|Thriller
5349,Spider-Man (2002),2002,30010,3.4786404531822726,3.4786268826070756,3,Action|Adventure|Sci-Fi|Thriller
2997,Being John Malkovich (1999),1999,29943,3.9334735998396955,3.933444809441656,0,Comedy|Drama|Fantasy
1258,"Shining, The (1980)",1980,29931,4.0278640874010225,4.027832131963148,0,Horror
1206,"Clockwork Orange, A (1971)",1971,29856,3.9841907824222935,3.9841602094624693,3,Crime|Drama|Sci-Fi|Thriller
586,Home Alone (1990),1990,29540,3.141875423155044,3.141873036590533,0,Children|Comedy
111,Taxi Driver (1976),1976,29133,4.083479216009336,4.0834444763479425,0,Crime|Drama|Thriller
5418,"Bourne Identity, The (2002)",2002,28934,3.908775143429875,3.908746202658405,3,Action|Mystery|Thriller
924,2001: A Space Odyssey (1968),1968,28820,3.981349757113116,3.981318183752158,0,Adventure|Drama|Sci-Fi
778,Trainspotting (1996),1996,28702,4.007664971082154,4.00763235111037,0,Comedy|Crime|Drama
587,Ghost (1990),1990,28516,3.4342123720016833,3.434199648417468,0,Comedy|Drama|Fantasy|Romance|Thriller
7438,Kill Bill: Vol. 2 (2004),2004,28502,3.8232229317240893,3.8231965538336645,3,Action|Drama|Thriller
10,GoldenEye (1995),1995,28265,3.42145763311516,3.421445247786066,0,Action|Adventure|Thriller
539,Sleepless in Seattle (1993),1993,28137,3.5094537441802607,3.5094381752050943,0,Comedy|Drama|Romance
1073,Willy Wonka & the Chocolate Factory (1971),1971,28079,3.713415719933046,3.7133928551966147,0,Children|Comedy|Fantasy|Musical
5989,Catch Me If You Can (2002),2002,27935,3.92903168068731,3.929000979879759,0,Crime|Drama
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",2000,27905,3.8524278803081886,3.852399891561705,0,Action|Drama|Romance
1732,"Big Lebowski, The (1998)",1998,27826,3.9743764824265075,3.9743440318367393,0,Comedy|Crime
1961,Rain Man (1988),1988,27813,3.900244489986697,3.900214689506038,0,Drama
349,Clear and Present Danger (1994),1994,27766,3.6551898004754015,3.655168774945833,3,Action|Crime|Drama|Thriller
1617,L.A. Confidential (1997),1997,27749,4.063227503693827,4.0631917612223765,2,Crime|Film-Noir|Mystery|Thriller
253,Interview with the Vampire: The Vampire Chronicles (1994),1994,27577,3.508920477209269,3.5089046114265336,0,Drama|Horror
208,Waterworld (1995),1995,27377,2.8652335902399826,2.865241119655232,3,Action|Adventure|Sci-Fi
60069,WALL·E (2008),2008,27374,4.004931687002265,4.004897584435469,0,Adventure|Animation|Children|Romance|Sci-Fi
4878,Donnie Darko (2001),2001,27181,3.954067179279644,3.9540347058318353,0,Drama|Mystery|Sci-Fi|Thriller
2918,Ferris Bueller's Day Off (1986),1986,27099,3.915679545370678,3.915648390181585,0,Comedy
912,Casablanca (1942),1942,26890,4.206563778356267,4.206521563866013,0,Drama|Romance
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),1964,26714,4.215804447106386,4.215761608606436,0,Comedy|War
357,Four Weddings and a Funeral (1994),1994,26709,3.6408326781234788,3.6408113580651795,0,Comedy|Romance
3114,Toy Story 2 (1999),1999,26536,3.8114636719927644,3.8114357830169556,6,Adventure|Animation|Children|Comedy|Fantasy
1208,Apocalypse Now (1979),1979,26370,4.114713689799014,4.114674125892873,1,Action|Drama|War
39,Clueless (1995),1995,26230,3.4187380861608845,3.4187248436552533,0,Comedy|Romance
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),2001,26033,3.678158491145853,3.6781351837566625,0,Adventure|Children|Fantasy
