component,singular_value,explained_variance_ratio,cumulative_variance
1,996.024658203125,0.03275267034769058,0.03275267034769058
2,518.5925903320312,0.012302041985094547,0.045054711401462555
3,459.3644104003906,0.00966972578316927,0.05472443625330925
4,410.2572937011719,0.007097859401255846,0.06182229518890381
5,384.9060363769531,0.00676344521343708,0.06858573853969574
6,375.78875732421875,0.0064531476236879826,0.07503888756036758
7,349.396728515625,0.005527143832296133,0.08056603372097015
8,317.41595458984375,0.004630417563021183,0.08519645035266876
9,300.39837646484375,0.004143472760915756,0.08933992683887482
10,293.1277770996094,0.003942322451621294,0.09328225255012512
11,287.60528564453125,0.0037816856056451797,0.09706393629312515
12,279.4915771484375,0.0035863916855305433,0.10065032541751862
13,261.6080017089844,0.0031204274855554104,0.10377075523138046
14,257.4284362792969,0.0030436115339398384,0.10681436955928802
15,253.83456420898438,0.0029584576841443777,0.10977282375097275
16,245.69256591796875,0.0027536426205188036,0.11252646893262863
17,243.29812622070312,0.0027137044817209244,0.1152401715517044
18,236.99197387695312,0.002573729492723942,0.11781390011310577
19,235.136962890625,0.0025412924587726593,0.12035518884658813
20,232.99806213378906,0.002495414111763239,0.12285060435533524
21,228.2249298095703,0.002383643761277199,0.12523424625396729
22,226.86817932128906,0.0023651262745261192,0.12759937345981598
23,223.10903930664062,0.00228855200111866,0.1298879235982895
24,221.12954711914062,0.0022430194076150656,0.1321309357881546
25,218.203125,0.0021900159772485495,0.1343209445476532
26,215.313232421875,0.0021328083239495754,0.1364537477493286
27,212.903564453125,0.0020853348542004824,0.13853907585144043
28,210.53250122070312,0.0020376648753881454,0.14057673513889313
29,207.45269775390625,0.0019794174004346132,0.14255614578723907
30,205.49749755859375,0.0019420471508055925,0.14449819922447205
31,204.57174682617188,0.001927190343849361,0.14642539620399475
32,203.91720581054688,0.0019164388068020344,0.1483418345451355
33,202.98236083984375,0.0018958874279633164,0.15023772418498993
34,200.07839965820312,0.001835755305364728,0.152073472738266
35,198.4146728515625,0.001814187620766461,0.15388765931129456
36,195.82235717773438,0.0017718877643346786,0.1556595414876938
37,193.929931640625,0.0017363528022542596,0.15739589929580688
38,192.4265594482422,0.0017132088541984558,0.15910911560058594
39,191.90704345703125,0.0017001506639644504,0.16080926358699799
40,190.71734619140625,0.0016792431706562638,0.16248850524425507
41,189.47857666015625,0.0016565602272748947,0.1641450673341751
42,187.06610107421875,0.0016159192891791463,0.16576099395751953
43,185.78077697753906,0.001597300753928721,0.16735829412937164
44,184.9919891357422,0.001582814147695899,0.16894111037254333
45,183.91671752929688,0.0015664626844227314,0.17050758004188538
46,182.0251007080078,0.001532775117084384,0.17204035818576813
47,180.2154998779297,0.0014966130256652832,0.1735369712114334
48,179.44638061523438,0.001490132068283856,0.17502710223197937
49,176.27317810058594,0.0014396023470908403,0.176466703414917
50,175.87303161621094,0.0014398505445569754,0.1779065579175949
