k,min_similarity,n_edges,sparsity,n_isolated,n_components,giant_component_size,giant_component_frac
5,0.3,54494,0.0006278334825322102,1,2,13175,0.9999241044323012
5,0.5,54036,0.000622556796383281,29,33,13139,0.9971918639951427
5,0.7,41172,0.0004743487382613895,1903,1957,11142,0.8456284153005464
10,0.3,107115,0.0012340878533680351,1,2,13175,0.9999241044323012
10,0.5,105447,0.0012148705771749912,29,33,13139,0.9971918639951427
10,0.7,74813,0.0008619317049341624,1903,1957,11142,0.8456284153005464
15,0.3,158911,0.001830837276446509,1,2,13175,0.9999241044323012
15,0.5,155331,0.001789591563754005,29,33,13139,0.9971918639951427
15,0.7,104760,0.0012069555479515973,1903,1957,11142,0.8456284153005464
20,0.3,210185,0.0024215726598530592,1,2,13175,0.9999241044323012
20,0.5,203980,0.0023500839315689845,29,33,13139,0.9971918639951427
20,0.7,132124,0.0015222202636269268,1903,1957,11142,0.8456284153005464
