component,explained_variance_ratio,cumulative_explained_variance
1,0.08020061348595948,0.08020061348595948
2,0.04878166929024162,0.1289822827762011
3,0.0446689492283191,0.1736512320045202
4,0.04180314596041837,0.21545437796493858
5,0.03438398636386675,0.24983836432880532
6,0.03262762554560092,0.28246598987440624
7,0.031866090692118244,0.3143320805665245
8,0.02920407144852787,0.3435361520150524
9,0.028628427124165152,0.3721645791392175
10,0.02759791275596434,0.39976249189518187
11,0.025220463150643205,0.42498295504582506
12,0.02392179696953648,0.44890475201536156
13,0.023287781441282736,0.4721925334566443
14,0.023051757584803698,0.495244291041448
15,0.022348077825789705,0.5175923688672377
16,0.02210180061381357,0.5396941694810513
17,0.02148556087767629,0.5611797303587276
18,0.021143012570058718,0.5823227429287863
19,0.020878320275697745,0.603201063204484
20,0.020480004534652273,0.6236810677391362
21,0.020036328155079525,0.6437173958942157
22,0.01971011500125606,0.6634275108954718
23,0.01942577509141686,0.6828532859868887
24,0.019206112203701907,0.7020593981905906
25,0.019021806249892047,0.7210812044404826
26,0.018530018039000302,0.739611222479483
27,0.01784151419137553,0.7574527366708586
28,0.017621056374782815,0.7750737930456414
29,0.017286399463049024,0.7923601925086904
30,0.017231033336201226,0.8095912258448916
31,0.01684551217275043,0.8264367380176421
32,0.01671777652374085,0.8431545145413829
33,0.01620436289348492,0.8593588774348678
34,0.015824868401432393,0.8751837458363002
35,0.015468537129359786,0.89065228296566
36,0.015153921364205137,0.9058062043298651
37,0.01461470434879411,0.9204209086786592
38,0.01423655183617138,0.9346574605148306
39,0.01330175163620846,0.9479592121510391
40,0.012931400146858837,0.9608906122978979
41,0.011789776151604328,0.9726803884495022
42,0.0115316500356774,0.9842120384851796
43,0.010747129203876514,0.9949591676890561
44,0.004448862723547396,0.9994080304126035
45,0.0005919695873965876,1.0
