component,rank,feature,loading,abs_loading
pc1,1,rating_count_log,-0.42905041985211145,0.42905041985211145
pc1,2,unique_tag_count_log,-0.4129053146444804,0.4129053146444804
pc1,3,genre_count_log,-0.31335555145968824,0.31335555145968824
pc1,4,rating_std,-0.19767718521147037,0.19767718521147037
pc1,5,tag_019_action,-0.18730185493948573,0.18730185493948573
pc1,6,tag_010_funny,-0.17665367707648774,0.17665367707648774
pc1,7,tag_006_based_on_a_book,-0.17279257776051124,0.17279257776051124
pc1,8,tag_007_clv,-0.17182794343964006,0.17182794343964006
pc1,9,tag_004_comedy,-0.1622250996804079,0.1622250996804079
pc1,10,tag_009_romance,-0.15571413844670287,0.15571413844670287
pc1,11,tag_011_violence,-0.1448832106225127,0.1448832106225127
pc1,12,tag_008_drama,-0.14094880231914236,0.14094880231914236
pc2,1,genre_thriller,-0.40681615274039645,0.40681615274039645
pc2,2,genre_action,-0.2766416407908071,0.2766416407908071
pc2,3,genre_horror,-0.25698252324512866,0.25698252324512866
pc2,4,genre_crime,-0.2561514479542036,0.2561514479542036
pc2,5,genre_comedy,0.2428445530536349,0.2428445530536349
pc2,6,genre_mystery,-0.23359000769572388,0.23359000769572388
pc2,7,tag_002_murder,-0.2092781790177582,0.2092781790177582
pc2,8,tag_014_musical,0.2005293898159304,0.2005293898159304
pc2,9,genre_musical,0.1958304971071823,0.1958304971071823
pc2,10,genre_romance,0.19390332533846752,0.19390332533846752
pc2,11,genre_count_log,-0.18918677621462987,0.18918677621462987
pc2,12,tag_004_comedy,0.17401390642943737,0.17401390642943737
